"";"...1";"variable";"description"
"676";"#";"m65f";"NA - Reason didn't deliver at health facility: husband/family didn't allow"
"677";"#";"m65g";"NA - Reason didn't deliver at health facility: not necessary"
"678";"#";"m65h";"NA - Reason didn't deliver at health facility: not customary"
"679";"#";"m65i";"NA - Reason didn't deliver at health facility: CS"
"680";"#";"m65j";"NA - Reason didn't deliver at health facility: CS"
"681";"#";"m65k";"NA - Reason didn't deliver at health facility: CS"
"682";"#";"m65l";"NA - Reason didn't deliver at health facility: CS"
"683";"#";"m65x";"NA - Reason didn't deliver at health facility: other"
"684";"#";"m66";"Respondent's health checked after discharge/delivery at home"
"685";"#";"m67";"How long after discharge/delivery at home respondent health check took place"
"686";"#";"m68";"Who checked respondent health after discharge/delivery at home"
"687";"#";"m69";"Where respondent check after discharge/delivery at home took place"
"688";"#";"m70";"Baby postnatal check within 2 months"
"689";"#";"m71";"Time after delivery postnatal check took place"
"690";"#";"m72";"Person who performed postnatal checkup"
"691";"#";"m73";"Place baby was first checked"
"692";"#";"m74";"Child's health checked before discharge"
"693";"#";"m75";"How long before discharging child health check took place"
"694";"#";"m76";"Who checked child health before discharge"
"695";"#";"m77";"NA - Was child put on mother's chest and bare skin after birth"
"696";"#";"m78a";"During first 2 days health provider: examine cord"
"697";"#";"m78b";"During first 2 days health provider: measure temperature"
"698";"#";"m78c";"During first 2 days health provider: counsel on newborn dangers"
"699";"#";"m78d";"During first 2 days health provider: counsel on breastfeeding"
"700";"#";"m78e";"During first 2 days health provider: observe breastfeeding"
"701";"#";"m78f";"NA - During first 2 days health provider: CS"
"702";"#";"m78g";"NA - During first 2 days health provider: CS"
"703";"#";"m78h";"NA - During first 2 days health provider: CS"
"704";"#";"m78i";"NA - During first 2 days health provider: CS"
"705";"#";"m78j";"NA - During first 2 days health provider: CS"
"706";"#";"hidx";"Index to birth history"
"707";"#";"h1";"Has health card"
"708";"#";"h1a";"Has health card and or other vaccination document"
"709";"#";"h2";"Received BCG"
"710";"#";"h2d";"BCG day"
"711";"#";"h2m";"BCG month"
"712";"#";"h2y";"BCG year"
"713";"#";"h3";"Received DPT 1"
"714";"#";"h3d";"DPT 1 day"
"715";"#";"h3m";"DPT 1 month"
"716";"#";"h3y";"DPT 1 year"
"717";"#";"h4";"Received POLIO 1"
"718";"#";"h4d";"POLIO 1 day"
"719";"#";"h4m";"POLIO 1 month"
"720";"#";"h4y";"POLIO 1 year"
"721";"#";"h5";"Received DPT 2"
"722";"#";"h5d";"DPT 2 day"
"723";"#";"h5m";"DPT 2 month"
"724";"#";"h5y";"DPT 2 year"
"725";"#";"h6";"Received POLIO 2"
"726";"#";"h6d";"POLIO 2 day"
"727";"#";"h6m";"POLIO 2 month"
"728";"#";"h6y";"POLIO 2 year"
"729";"#";"h7";"Received DPT 3"
"730";"#";"h7d";"DPT 3 day"
"731";"#";"h7m";"DPT 3 month"
"732";"#";"h7y";"DPT 3 year"
"733";"#";"h8";"Received POLIO 3"
"734";"#";"h8d";"POLIO 3 day"
"735";"#";"h8m";"POLIO 3 month"
"736";"#";"h8y";"POLIO 3 year"
"737";"#";"h9";"Received MEASLES 1"
"738";"#";"h9d";"MEASLES 1 day"
"739";"#";"h9m";"MEASLES 1 month"
"740";"#";"h9y";"MEASLES 1 year"
"741";"#";"h9a";"Received MEASLES 2"
"742";"#";"h9ad";"MEASLES 2 day"
"743";"#";"h9am";"MEASLES 2 month"
"744";"#";"h9ay";"MEASLES 2 year"
"745";"#";"h0";"Received POLIO 0"
"746";"#";"h0d";"POLIO 0 day"
"747";"#";"h0m";"POLIO 0 month"
"748";"#";"h0y";"POLIO 0 year"
"749";"#";"h10";"Ever had vaccination"
"750";"#";"h33";"Received Vitamin A1 (most recent)"
"751";"#";"h33d";"Vitamin A1 day"
"752";"#";"h33m";"Vitamin A1 month"
"753";"#";"h33y";"Vitamin A1 year"
"754";"#";"h35";"NA - Any vaccinations in last 2 years part of campaign"
"755";"#";"h36a";"NA - Vaccinated during Campaign A"
"756";"#";"h36b";"NA - Vaccinated during Campaign B"
"757";"#";"h36c";"NA - Vaccinated during Campaign C"
"758";"#";"h36d";"NA - Vaccinated during Campaign D"
"759";"#";"h36e";"NA - Vaccinated during Campaign E"
"760";"#";"h36f";"NA - Vaccinated during Campaign F"
"761";"#";"h40";"NA - Received Vitamin A2 (2nd most recent)"
"762";"#";"h40d";"NA - Vitamin A2 day"
"763";"#";"h40m";"NA - Vitamin A2 month"
"764";"#";"h40y";"NA - Vitamin A2 year"
"765";"#";"h41a";"NA - Received vitamin A after most recent in card"
"766";"#";"h41b";"NA - Ever received Vitamin A dose"
"767";"#";"h50";"NA - Received Hepatitis B at birth"
"768";"#";"h50d";"NA - Hepatitis B at birth day"
"769";"#";"h50m";"NA - Hepatitis B at birth month"
"770";"#";"h50y";"NA - Hepatitis B at birth year"
"771";"#";"h51";"Received Pentavalent 1"
"772";"#";"h51d";"Pentavalent 1 day"
"773";"#";"h51m";"Pentavalent 1 month"
"774";"#";"h51y";"Pentavalent 1 year"
"775";"#";"h52";"Received Pentavalent 2"
"776";"#";"h52d";"Pentavalent 2 day"
"777";"#";"h52m";"Pentavalent 2 month"
"778";"#";"h52y";"Pentavalent 2 year"
"779";"#";"h53";"Received Pentavalent 3"
"780";"#";"h53d";"Pentavalent 3 day"
"781";"#";"h53m";"Pentavalent 3 month"
"782";"#";"h53y";"Pentavalent 3 year"
"783";"#";"h54";"Received Pneumococcal 1"
"784";"#";"h54d";"Pneumococcal 1 day"
"785";"#";"h54m";"Pneumococcal 1 month"
"786";"#";"h54y";"Pneumococcal 1 year"
"787";"#";"h55";"Received Pneumococcal 2"
"788";"#";"h55d";"Pneumococcal 2 day"
"789";"#";"h55m";"Pneumococcal 2 month"
"790";"#";"h55y";"Pneumococcal 2 year"
"791";"#";"h56";"Received Pneumococcal 3"
"792";"#";"h56d";"Pneumococcal 3 day"
"793";"#";"h56m";"Pneumococcal 3 month"
"794";"#";"h56y";"Pneumococcal 3 year"
"795";"#";"h57";"Received Rotavirus 1"
"796";"#";"h57d";"Rotavirus 1 day"
"797";"#";"h57m";"Rotavirus 1 month"
"798";"#";"h57y";"Rotavirus 1 year"
"799";"#";"h58";"Received Rotavirus 2"
"800";"#";"h58d";"Rotavirus 2 day"
"801";"#";"h58m";"Rotavirus 2 month"
"802";"#";"h58y";"Rotavirus 2 year"
"803";"#";"h59";"NA - Received Rotavirus 3"
"804";"#";"h59d";"NA - Rotavirus 3 day"
"805";"#";"h59m";"NA - Rotavirus 3 month"
"806";"#";"h59y";"NA - Rotavirus 3 year"
"807";"#";"h60";"Received Polio inactive"
"808";"#";"h60d";"Polio inactive day"
"809";"#";"h60m";"Polio inactive month"
"810";"#";"h60y";"Polio inactive year"
"811";"#";"h61";"Received Hepatitis B 1"
"812";"#";"h61d";"Hepatitis B 1 day"
"813";"#";"h61m";"Hepatitis B 1 month"
"814";"#";"h61y";"Hepatitis B 1 year"
"815";"#";"h62";"Received Hepatitis B 2"
"816";"#";"h62d";"Hepatitis B 2 day"
"817";"#";"h62m";"Hepatitis B 2 month"
"818";"#";"h62y";"Hepatitis B 2 year"
"819";"#";"h63";"Received Hepatitis B 3"
"820";"#";"h63d";"Hepatitis B 3 day"
"821";"#";"h63m";"Hepatitis B 3 month"
"822";"#";"h63y";"Hepatitis B 3 year"
"823";"#";"h64";"Received HiB 1"
"824";"#";"h64d";"HiB 1 day"
"825";"#";"h64m";"HiB 1 month"
"826";"#";"h64y";"HiB 1 year"
"827";"#";"h65";"Received HiB 2"
"828";"#";"h65d";"HiB 2 day"
"829";"#";"h65m";"HiB 2 month"
"830";"#";"h65y";"HiB 2 year"
"831";"#";"h66";"Received HiB 3"
"832";"#";"h66d";"HiB 3 day"
"833";"#";"h66m";"HiB 3 month"
"834";"#";"h66y";"HiB 3 year"
"835";"#";"h80a";"NA - In the last 7 days given: LOCAL NAME for multiple micronutrient powder"
"836";"#";"h80b";"NA - In the last 7 days given: LOCAL NAME ready to use therapeutic food"
"837";"#";"h80c";"NA - In the last 7 days given: LOCAL NAME for ready to use supplemental food"
"838";"#";"h80d";"NA - In the last 7 days given: CS"
"839";"#";"h80e";"NA - In the last 7 days given: CS"
"840";"#";"h80f";"NA - In the last 7 days given: CS"
"841";"#";"h80g";"NA - In the last 7 days given: CS"
"842";"#";"hidxa";"Index to birth history"
"843";"#";"h11";"NA - Had diarrhea recently"
"844";"#";"h11b";"NA - Blood in the stools"
"845";"#";"h12a";"NA - Diarrhea: government hospital"
"846";"#";"h12b";"NA - Diarrhea: CS public sector"
"847";"#";"h12c";"NA - Diarrhea: CS public sector"
"848";"#";"h12d";"NA - Diarrhea: CS public sector"
"849";"#";"h12e";"NA - Diarrhea: CS public sector"
"850";"#";"h12f";"NA - Diarrhea: CS public sector"
"851";"#";"h12g";"NA - Diarrhea: CS public sector"
"852";"#";"h12h";"NA - Diarrhea: CS public sector"
"853";"#";"h12i";"NA - Diarrhea: CS public sector"
"854";"#";"h12j";"NA - Diarrhea: private hospital/clinic"
"855";"#";"h12k";"NA - Diarrhea: private pharmacy"
"856";"#";"h12l";"NA - Diarrhea: private doctor"
"857";"#";"h12m";"NA - Diarrhea: CS private medical"
"858";"#";"h12n";"NA - Diarrhea: CS private medical"
"859";"#";"h12o";"NA - Diarrhea: CS private medical"
"860";"#";"h12p";"NA - Diarrhea: CS private medical"
"861";"#";"h12q";"NA - Diarrhea: CS private medical"
"862";"#";"h12r";"NA - Diarrhea: CS private medical"
"863";"#";"h12s";"NA - Diarrhea: CS other sector"
"864";"#";"h12t";"NA - Diarrhea: CS other sector"
"865";"#";"h12u";"NA - Diarrhea: CS other sector"
"866";"#";"h12v";"NA - Diarrhea: CS other sector"
"867";"#";"h12w";"NA - Diarrhea: CS other sector"
"868";"#";"h12x";"NA - Diarrhea: Other"
"869";"#";"h12y";"NA - Diarrhea: no treatment"
"870";"#";"h12z";"NA - Diarrhea: medical treatment"
"871";"#";"h13";"NA - Given oral rehydration"
"872";"#";"h13b";"NA - Given pre-packaged ORS liquid"
"873";"#";"h14";"NA - Given recommended home solution"
"874";"#";"h15";"NA - Given antibiotic pills or syrups"
"875";"#";"h15a";"NA - Given antimotility"
"876";"#";"h15b";"NA - Given antibiotic injection"
"877";"#";"h15c";"NA - Given intravenous (IV)"
"878";"#";"h15d";"NA - Given home remedy, herbal medicine"
"879";"#";"h15e";"NA - Given zinc"
"880";"#";"h15f";"NA - Given other (not antibiotic, antimotility, zinc)"
"881";"#";"h15g";"NA - Given unknown pill or syrup"
"882";"#";"h15h";"NA - Given non-antibiotic injection"
"883";"#";"h15i";"NA - Given unknown injection"
"884";"#";"h15j";"NA - Given CS"
"885";"#";"h15k";"NA - Given CS"
"886";"#";"h15l";"NA - Given CS"
"887";"#";"h15m";"NA - Given CS"
"888";"#";"h20";"NA - Given other treatment"
"889";"#";"h21a";"NA - Given no treatment"
"890";"#";"h21";"NA - Received any treatment"
"891";"#";"h22";"NA - Had fever in last two weeks"
"892";"#";"h31";"NA - Had cough in last two weeks"
"893";"#";"h31b";"NA - Short, rapid breaths"
"894";"#";"h31c";"NA - Problem in the chest or blocked or running nose"
"895";"#";"h31d";"NA - Had fever/cough in last 2 weeks: amount offered to drink"
"896";"#";"h31e";"NA - Had fever/cough in last 2 weeks: amount offered to eat"
"897";"#";"h32a";"NA - Fever/cough: government hospital"
"898";"#";"h32b";"NA - Fever/cough: CS public sector"
"899";"#";"h32c";"NA - Fever/cough: CS public sector"
"900";"#";"h32d";"NA - Fever/cough: CS public sector"
"901";"#";"h32e";"NA - Fever/cough: CS public sector"
"902";"#";"h32f";"NA - Fever/cough: CS public sector"
"903";"#";"h32g";"NA - Fever/cough: CS public sector"
"904";"#";"h32h";"NA - Fever/cough: CS public sector"
"905";"#";"h32i";"NA - Fever/cough: CS public sector"
"906";"#";"h32j";"NA - Fever/cough: private hospital/ clinic"
"907";"#";"h32k";"NA - Fever/cough: private pharmacy"
"908";"#";"h32l";"NA - Fever/cough: private doctor"
"909";"#";"h32m";"NA - Fever/cough: CS private medical"
"910";"#";"h32n";"NA - Fever/cough: CS private medical"
"911";"#";"h32o";"NA - Fever/cough: CS private medical"
"912";"#";"h32p";"NA - Fever/cough: CS private medical"
"913";"#";"h32q";"NA - Fever/cough: CS private medical"
"914";"#";"h32r";"NA - Fever/cough: CS private medical"
"915";"#";"h32s";"NA - Fever/cough: CS other sector"
"916";"#";"h32t";"NA - Fever/cough: CS other sector"
"917";"#";"h32u";"NA - Fever/cough: CS other sector"
"918";"#";"h32v";"NA - Fever/cough: CS other sector"
"919";"#";"h32w";"NA - Fever/cough: CS other sector"
"920";"#";"h32x";"NA - Fever/cough: other"
"921";"#";"h32y";"NA - Fever/cough: no treatment"
"922";"#";"h32z";"NA - Fever/cough: medical treatment"
"923";"#";"h34";"Vitamin A in last 6 months"
"924";"#";"h37a";"NA - SP/Fansidar taken for fever"
"925";"#";"h37b";"NA - Chloroquine taken for fever"
"926";"#";"h37c";"NA - Amodiaquine taken for fever"
"927";"#";"h37d";"NA - Quinine taken for fever"
"928";"#";"h37da";"NA - Quinine injection/IV taken for fever"
"929";"#";"h37e";"NA - Combination with artemisinin taken for fever"
"930";"#";"h37aa";"NA - Artesunate rectal taken for fever"
"931";"#";"h37ab";"NA - Artesunate injection/IV taken for fever"
"932";"#";"h37f";"NA - CS antimalarial taken for fever"
"933";"#";"h37g";"NA - CS antimalarial taken for fever"
"934";"#";"h37h";"NA - Other antimalarial taken for fever"
"935";"#";"h37i";"NA - Antibiotic pill/syrup taken for fever"
"936";"#";"h37j";"NA - Antibiotic injection taken for fever"
"937";"#";"h37k";"NA - Aspirin taken for fever"
"938";"#";"h37l";"NA - Acetaminophen/paracetamol/panadol taken for fever"
"939";"#";"h37m";"NA - Ibuprofen taken for fever"
"940";"#";"h37n";"NA - CS other taken for fever"
"941";"#";"h37o";"NA - CS other for fever/cough"
"942";"#";"h37p";"NA - CS other for fever/cough"
"943";"#";"h37x";"NA - Other taken for fever"
"944";"#";"h37y";"NA - Nothing taken and didn't seek treatment for fever/cough"
"945";"#";"h37z";"NA - Don't know if or what was taken for fever"
"946";"#";"h38";"NA - Diarrhea in last 2 weeks: amount offered to drink"
"947";"#";"h39";"NA - Diarrhea in last 2 weeks: amount offered to eat"
"948";"#";"h42";"NA - Taking iron pills, sprinkles or syrup"
"949";"#";"h43";"NA - Drugs for intestinal parasites in last 6 months"
"950";"#";"h44a";"NA - Place first sought treatment for diarrhea"
"951";"#";"h44b";"NA - Days after diarrhea sought advice or treatment"
"952";"#";"h44c";"NA - Still has diarrhea"
"953";"#";"h45";"NA - Times zinc was given"
"954";"#";"h46a";"NA - Place first sought treatment for fever"
"955";"#";"h46b";"NA - Number of days after fever began sought advice or treatment"
"956";"#";"h47";"NA - Blood taken from child's finger/heel for testing"
"957";"#";"hwidx";"Index to Birth History"
"958";"#";"hw1";"Child's age in months"
"959";"#";"hw2";"Child's weight in kilograms (1 decimal)"
"960";"#";"hw3";"Child's height in centimeters (1 decimal)"
"961";"#";"hw4";"Height/Age percentile"
"962";"#";"hw5";"Height/Age standard deviation"
"963";"#";"hw6";"Height/Age percent of ref. median"
"964";"#";"hw7";"Weight/Age percentile"
"965";"#";"hw8";"Weight/Age standard deviation"
"966";"#";"hw9";"Weight/Age percent of ref. median"
"967";"#";"hw10";"Weight/Height percentile"
"968";"#";"hw11";"Weight/Height standard deviation"
"969";"#";"hw12";"Weight/Height percent of ref. median"
"970";"#";"hw13";"Result of measurement - height/weight"
"971";"#";"hw15";"Height: lying or standing"
"972";"#";"hw16";"Day of birth of child"
"973";"#";"hw17";"Date measured (day)"
"974";"#";"hw18";"Date measured (month)"
"975";"#";"hw19";"Date measured (year)"
"976";"#";"hw51";"NA - Line number of parent/caretaker"
"977";"#";"hw52";"NA - Read consent statement - hemoglobin"
"978";"#";"hw53";"NA - Hemoglobin level (g/dl - 1 decimal)"
"979";"#";"hw55";"NA - Result of measurement - hemoglobin"
"980";"#";"hw56";"NA - Hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"981";"#";"hw57";"NA - Anemia level"
"982";"#";"hw58";"NA - Agrees to referral - anemia"
"983";"#";"hw70";"Height/Age standard deviation (new WHO)"
"984";"#";"hw71";"Weight/Age standard deviation (new WHO)"
"985";"#";"hw72";"Weight/Height standard deviation (new WHO)"
"986";"#";"hw73";"BMI standard deviation (new WHO)"
"987";"#";"s107";"Ever attended school"
"988";"#";"s108";"Highest educational level"
"989";"#";"s109";"Highest grade/form/year at that level"
"990";"#";"idx94";"Index to Birth History"
"991";"#";"s413d";"During pregnancy: counseling health worker"
"992";"#";"s414";"During (any of) your antenatal care visit(s), were you told about the signs of pregnancy complications or danger sign of pregnancy?"
"993";"#";"s415a";"Which signs of pregnancy complications were you told about: vaginal bleeding?"
"994";"#";"s415b";"Which signs of pregnancy complications were you told about: vaginal gush of fluid?"
"995";"#";"s415c";"Which signs of pregnancy complications were you told about: severe headache?"
"996";"#";"s415d";"Which signs of pregnancy complications were you told about: blurred vision?"
"997";"#";"s415e";"Which signs of pregnancy complications were you told about: fever?"
"998";"#";"s415f";"Which signs of pregnancy complications were you told about: abdominal pain?"
"999";"#";"s415g";"Which signs of pregnancy complications were you told about: convulsion?"
"1000";"#";"s415x";"Which signs of pregnancy complications were you told about: other?"
"1001";"#";"idx95";"Index to Birth History"
"1002";"#";"sf601";"Any child received any vaccination at health facility?"
"1003";"#";"sf603";"General consent"
"1004";"#";"sff102";"Have you located the vaccination records of?"
"1005";"#";"s104b";"Received BCG"
"1006";"#";"sd104b";"BCG day"
"1007";"#";"sm104b";"BCG month"
"1008";"#";"sy104b";"BCG year"
"1009";"#";"s104d1";"Received DPT 1"
"1010";"#";"sd104d1";"DPT 1 day"
"1011";"#";"sm104d1";"DPT 1 month"
"1012";"#";"sy104d1";"DPT 1 year"
"1013";"#";"s104p1";"Received POLIO 1"
"1014";"#";"sd104p1";"POLIO 1 day"
"1015";"#";"sm104p1";"POLIO 1 month"
"1016";"#";"sy104p1";"POLIO 1 year"
"1017";"#";"s104d2";"Received DPT 2"
"1018";"#";"sd104d2";"DPT 2 day"
"1019";"#";"sm104d2";"DPT 2 month"
"1020";"#";"sy104d2";"DPT 2 year"
"1021";"#";"s104p2";"Received POLIO 2"
"1022";"#";"sd104p2";"POLIO 2 day"
"1023";"#";"sm104p2";"POLIO 2 month"
"1024";"#";"sy104p2";"POLIO 2 year"
"1025";"#";"s104d3";"Received DPT 3"
"1026";"#";"sd104d3";"DPT 3 day"
"1027";"#";"sm104d3";"DPT 3 month"
"1028";"#";"sy104d3";"DPT 3 year"
"1029";"#";"s104p3";"Received POLIO 3"
"1030";"#";"sd104p3";"POLIO 3 day"
"1031";"#";"sm104p3";"POLIO 3 month"
"1032";"#";"sy104p3";"POLIO 3 year"
"1033";"#";"s104m1";"Received MEASLES 1"
"1034";"#";"sd104m1";"MEASLES 1 day"
"1035";"#";"sm104m1";"MEASLES 1 month"
"1036";"#";"sy104m1";"MEASLES 1 year"
"1037";"#";"s104m2";"Received MEASLES 2"
"1038";"#";"sd104m2";"MEASLES 2 day"
"1039";"#";"sm104m2";"MEASLES 2 month"
"1040";"#";"sy104m2";"MEASLES2 year"
"1041";"#";"s104p0";"Received POLIO 0"
"1042";"#";"sd104p0";"POLIO 0 day"
"1043";"#";"sm104p0";"POLIO 0 month"
"1044";"#";"sy104p0";"POLIO 0 year"
"1045";"#";"s104va";"Received Vitamin A1 (most recent)"
"1046";"#";"sd104va";"Vitamin A1 day"
"1047";"#";"sm104va";"Vitamin A1 month"
"1048";"#";"sy104va";"Vitamin A1 year"
"1049";"#";"s104n1";"Received Pneumococcal 1"
"1050";"#";"sd104n1";"Pneumococcal 1 day"
"1051";"#";"sm104n1";"Pneumococcal 1 month"
"1052";"#";"sy104n1";"Pneumococcal 1 year"
"1053";"#";"s104n2";"Received Pneumococcal 2"
"1054";"#";"sd104n2";"Pneumococcal 2 day"
"1055";"#";"sm104n2";"Pneumococcal 2 month"
"1056";"#";"sy104n2";"Pneumococcal 2 year"
"1057";"#";"s104n3";"Received Pneumococcal 3"
"1058";"#";"sd104n3";"Pneumococcal 3 day"
"1059";"#";"sm104n3";"Pneumococcal 3 month"
"1060";"#";"sy104n3";"Pneumococcal 3 year"
"1061";"#";"s104r1";"Received Rotavirus 1"
"1062";"#";"sd104r1";"Rotavirus 1 day"
"1063";"#";"sm104r1";"Rotavirus 1 month"
"1064";"#";"sy104r1";"Rotavirus 1 year"
"1065";"#";"s104r2";"Received Rotavirus 2"
"1066";"#";"sd104r2";"Rotavirus 2 day"
"1067";"#";"sm104r2";"Rotavirus 2 month"
"1068";"#";"sy104r2";"Rotavirus 2 year"
"1069";"#";"s104ipv";"Received Inactivated polio"
"1070";"#";"sd104ipv";"Inactivated polio day"
"1071";"#";"sm104ipv";"Inactivated polio  month"
"1072";"#";"sy104ipv";"Inactivated polio year"
